Td  ID  Tj   Ta   Df   Dd   Db
59    85    49    49    0    10    10
59    114    59    59    0    0    0
60    2091    52    54    2    6    8
60    2064    40    41    1    19    20
60    2065    40    41    1    19    20
60    2066    40    41    1    19    20
60    2067    40    41    1    19    20
60    2068    40    41    1    19    20
60    2069    40    43    3    17    20
60    2083    49    50    1    10    11
60    2084    49    50    1    10    11
60    2056    36    36    0    24    24
60    118    59    60    1    0    1
61    2045    34    34    0    27    27
61    2103    54    54    0    7    7
61    96    53    53    0    8    8
61    78    41    41    0    20    20
61    62    37    37    0    24    24
61    39    33    33    0    28    28
61    71    40    40    0    21    21
61    34    17    17    0    44    44
61    120    59    61    2    0    2
62    2087    52    52    0    10    10
63    2057    37    37    0    26    26
63    2117    59    59    0    4    4
63    2126    61    61    0    2    2
63    2122    61    61    0    2    2
63    2109    57    57    0    6    6
64    2126    61    61    0    3    3
64    2126    61    61    0    3    3
64    2126    61    61    0    3    3
64    74    41    43    2    21    23
65    2042    33    33    0    32    32
65    2059    37    39    2    26    28
66    2055    36    36    0    30    30
66    2102    54    54    0    12    12
66    2090    52    52    0    14    14
68    2060    37    38    1    30    31
68    2110    57    57    0    11    11
68    2107    57    57    0    11    11
68    107    57    57    0    11    11
68    101    54    54    0    14    14
72    2093    53    55    2    17    19
72    2141    70    72    2    0    2
72    2143    70    72    2    0    2
72    2144    70    72    2    0    2
72    2145    70    72    2    0    2
72    2147    70    72    2    0    2
72    2096    53    55    2    17    19
72    2134    68    70    2    2    4
72    2136    68    70    2    2    4
72    2098    53    55    2    17    19
72    2139    68    68    0    4    4
72    2121    61    61    0    11    11
72    2115    59    59    0    13    13
72    2114    59    59    0    13    13
72    2132    66    66    0    6    6
73    2124    61    61    0    12    12
73    2130    66    66    0    7    7
74    2150    73    73    0    1    1
74    2153    73    73    0    1    1
74    2135    68    68    0    6    6
74    2139    68    68    0    6    6
74    2129    66    66    0    8    8
75    2117    59    59    0    16    16
75    2131    66    66    0    9    9
76    2156    76    76    0    0    0
76    2153    73    73    0    3    3
77    2086    52    53    1    24    25
77    2153    73    73    0    4    4
77    2140    68    68    0    9    9
78    2155    76    76    0    2    2
78    2138    68    68    0    10    10
79    2088    52    56    4    23    27
80    2137    68    68    0    12    12
80    2142    70    70    0    10    10
80    162    76    76    0    4    4
80    151    73    73    0    7    7
80    154    73    73    0    7    7
80    147    70    70    0    10    10
80    133    66    66    0    14    14
81    2100    54    59    5    22    27
81    148    70    70    0    11    11
81    144    70    70    0    11    11
81    145    70    70    0    11    11
81    132    66    66    0    15    15
81    158    76    76    0    5    5
83    2106    57    59    2    24    26
83    2111    57    59    2    24    26
86    2118    59    64    5    22    27
86    2099    54    56    2    30    32
87    2092    53    55    2    32    34
88    2108    57    59    2    29    31
88    2112    57    59    2    29    31
88    2157    76    78    2    10    12
88    2161    76    78    2    10    12
88    2089    52    54    2    34    36
88    2120    61    65    4    23    27
88    2123    61    63    2    25    27
88    2125    61    63    2    25    27
88    2127    66    68    2    20    22
88    2149    73    74    1    14    15
92    2116    59    61    2    31    33
95    2152    73    74    1    21    22
95    2128    66    68    2    27    29
95    2166    95    95    0    0    0
95    2168    95    95    0    0    0
95    76    41    42    1    53    54
95    37    33    34    1    61    62
95    43    33    34    1    61    62
95    51    36    36    0    59    59
95    65    40    40    0    55    55
95    66    40    41    1    54    55
95    64    37    38    1    57    58
95    80    49    50    1    45    46
95    70    40    43    3    52    55
95    164    95    95    0    0    0
96    2165    95    95    0    1    1
96    2167    95    95    0    1    1
96    2163    95    95    0    1    1
96    2146    70    70    0    26    26
96    2151    73    73    0    23    23
98    2167    95    95    0    3    3
99    2117    59    59    0    40    40
99    2159    76    76    0    23    23
100    2174    99    99    0    1    1
100    2175    99    99    0    1    1
100    2171    99    99    0    1    1
100    2180    100    100    0    0    0
100    49    34    35    1    65    66
100    60    37    38    1    62    63
100    58    37    37    0    63    63
100    68    40    41    1    59    60
100    83    49    49    0    51    51
100    73    41    42    1    58    59
100    75    41    43    2    57    59
100    111    57    59    2    41    43
100    97    53    54    1    46    47
100    108    57    57    0    43    43
100    179    100    100    0    0    0
101    2160    76    76    0    25    25
103    2080    49    49    0    54    54
104    2173    99    99    0    5    5
104    2173    99    99    0    5    5
106    2176    100    100    0    6    6
106    2172    99    99    0    7    7
107    2176    100    100    0    7    7
107    2169    99    99    0    8    8
107    2170    99    99    0    8    8
108    2196    104    104    0    4    4
108    2201    107    107    0    1    1
108    2187    101    101    0    7    7
108    2177    100    100    0    8    8
108    2182    100    100    0    8    8
109    2201    107    107    0    2    2
109    2185    101    101    0    8    8
111    2184    101    101    0    10    10
111    2194    104    104    0    7    7
112    2201    107    107    0    5    5
113    2186    101    101    0    12    12
113    2193    104    104    0    9    9
113    93    53    55    2    58    60
113    110    57    59    2    54    56
113    109    57    57    0    56    56
113    95    53    55    2    58    60
113    104    54    56    2    57    59
113    106    54    56    2    57    59
113    127    61    63    2    50    52
113    112    57    59    2    54    56
113    223    113    113    0    0    0
115    2188    101    101    0    14    14
115    2189    101    101    0    14    14
116    2190    104    104    0    12    12
116    2197    107    107    0    9    9
117    90    52    54    2    63    65
117    105    54    55    1    62    63
117    124    61    66    5    51    56
117    126    61    66    5    51    56
117    113    57    58    1    59    60
117    115    59    60    1    57    58
117    140    68    72    4    45    49
117    153    73    77    4    40    44
117    122    61    63    2    54    56
117    228    117    117    0    0    0
118    2195    104    104    0    14    14
118    2183    101    101    0    17    17
118    2220    113    113    0    5    5
118    135    68    70    2    48    50
118    137    68    70    2    48    50
118    138    68    70    2    48    50
118    116    59    60    1    58    59
118    149    73    75    2    43    45
118    134    66    70    4    48    52
118    234    118    118    0    0    0
119    2200    107    107    0    12    12
119    2216    112    112    0    7    7
119    2072    41    41    0    78    78
119    2220    113    113    0    6    6
120    2220    113    113    0    7    7
120    2209    111    111    0    9    9
121    2214    112    113    1    8    9
121    2215    112    113    1    8    9
121    2225    117    118    1    3    4
121    2239    120    121    1    0    1
121    2243    120    121    1    0    1
121    2244    120    121    1    0    1
121    2226    117    118    1    3    4
121    2205    111    112    1    9    10
121    2210    111    112    1    9    10
121    2199    107    107    0    14    14
121    2212    112    112    0    9    9
121    2204    111    111    0    10    10
121    2224    113    113    0    8    8
121    2206    111    111    0    10    10
122    2208    111    111    0    11    11
122    2220    113    113    0    9    9
123    2223    113    114    1    9    10
123    2203    107    108    1    15    16
123    2191    104    104    0    19    19
123    2237    118    119    1    4    5
123    2202    107    109    2    14    16
123    2248    122    122    0    1    1
123    2251    122    122    0    1    1
123    2252    122    122    0    1    1
123    2219    113    114    1    9    10
123    2220    113    113    0    10    10
123    2222    113    113    0    10    10
124    2208    111    111    0    13    13
124    2231    117    117    0    7    7
124    2236    118    119    1    5    6
124    2227    117    117    0    7    7
124    258    124    124    0    0    0
125    2240    120    120    0    5    5
125    2228    117    117    0    8    8
125    2238    118    118    0    7    7
125    184    101    101    0    24    24
125    99    53    53    0    72    72
125    125    61    61    0    64    64
125    94    53    53    0    72    72
125    91    52    52    0    73    73
125    197    104    104    0    21    21
125    139    68    68    0    57    57
125    260    124    125    1    0    1
126    2236    118    119    1    7    8
126    2236    118    119    1    7    8
127    2234    118    118    0    9    9
128    2253    124    124    0    4    4
128    2255    124    124    0    4    4
128    2257    124    124    0    4    4
128    2259    124    124    0    4    4
129    2246    122    122    0    7    7
129    2242    120    120    0    9    9
129    2245    120    120    0    9    9
130    2249    122    122    0    8    8
130    2247    122    122    0    8    8
130    2241    120    120    0    10    10
130    86    52    52    0    78    78
130    152    73    73    0    57    57
130    121    61    61    0    69    69
130    261    130    130    0    0    0
131    2256    124    124    0    7    7
131    2246    122    122    0    9    9
132    2250    122    122    0    10    10
133    2256    124    124    0    9    9
136    2261    130    130    0    6    6
136    2261    130    130    0    6    6
137    2261    130    130    0    7    7
137    2261    130    130    0    7    7
137    2261    130    130    0    7    7
137    2261    130    130    0    7    7
137    2262    130    130    0    7    7
137    2262    130    130    0    7    7
137    283    137    137    0    0    0
138    2264    130    130    0    8    8
140    2272    133    133    0    7    7
140    2258    124    124    0    16    16
140    2272    133    133    0    7    7
140    2258    124    124    0    16    16
141    2272    133    133    0    8    8
141    2281    137    137    0    4    4
141    2273    133    133    0    8    8
141    2276    134    134    0    7    7
142    2281    137    137    0    5    5
142    2267    133    133    0    9    9
142    2274    134    134    0    8    8
142    2277    134    134    0    8    8
143    2275    134    134    0    9    9
144    2290    139    139    0    5    5
144    2291    139    141    2    3    5
144    2293    139    140    1    4    5
144    2294    139    140    1    4    5
144    2280    134    134    0    10    10
144    2263    130    130    0    14    14
144    2268    133    133    0    11    11
144    2270    133    133    0    11    11
144    2286    137    137    0    7    7
144    2287    137    137    0    7    7
147    2266    130    130    0    17    17
148    2283    137    137    0    11    11
148    2285    137    137    0    11    11
149    2288    139    139    0    10    10
150    2292    139    139    0    11    11
151    2320    151    151    0    0    0
151    2322    151    151    0    0    0
151    2296    147    147    0    4    4
151    2296    147    147    0    4    4
151    2315    150    150    0    1    1
151    2305    148    148    0    3    3
151    2305    148    148    0    3    3
151    2306    148    148    0    3    3
151    2312    150    150    0    1    1
151    2306    148    148    0    3    3
151    2300    147    147    0    4    4
152    2279    134    134    0    18    18
152    2300    147    147    0    5    5
153    2299    147    147    0    6    6
153    2312    150    150    0    3    3
155    2327    152    152    0    3    3
156    2326    152    152    0    4    4
156    2304    148    148    0    8    8
157    2289    139    139    0    18    18
157    2298    147    147    0    10    10
157    2309    150    150    0    7    7
157    2314    150    150    0    7    7
157    2301    147    147    0    10    10
157    2317    151    151    0    6    6
157    2318    151    151    0    6    6
157    2319    151    153    2    4    6
157    2321    151    152    1    5    6
157    2303    148    148    0    9    9
157    2308    148    148    0    9    9
158    2316    151    151    0    7    7
159    2310    150    150    0    9    9
160    2307    148    148    0    12    12
160    2330    160    160    0    0    0
160    2313    150    150    0    10    10
161    2334    160    160    0    1    1
161    2333    160    160    0    1    1
161    2323    152    152    0    9    9
161    2329    152    152    0    9    9
162    2333    160    160    0    2    2
162    2325    152    152    0    10    10
162    2324    152    152    0    10    10
163    2332    160    160    0    3    3
169    2340    168    168    0    1    1
169    2341    168    168    0    1    1
169    2337    168    168    0    1    1
169    2339    168    168    0    1    1
169    2331    160    160    0    9    9
169    2336    160    160    0    9    9
170    196    104    106    2    64    66
170    177    100    104    4    66    70
170    201    107    109    2    61    63
170    190    101    105    4    65    69
170    176    99    101    2    69    71
170    129    66    68    2    102    104
170    143    70    74    4    96    100
170    216    112    113    1    57    58
170    345    170    170    0    0    0
171    2350    170    170    0    1    1
171    2347    170    170    0    1    1
171    2347    170    170    0    1    1
172    2347    170    170    0    2    2
174    2351    172    172    0    2    2
174    2352    172    172    0    2    2
174    2353    172    172    0    2    2
174    2357    172    172    0    2    2
174    2345    170    170    0    4    4
174    2349    170    170    0    4    4
174    2335    160    160    0    14    14
175    2355    172    172    0    3    3
175    2343    168    168    0    7    7
177    2342    168    168    0    9    9
178    2363    177    177    0    1    1
178    2362    177    177    0    1    1
178    2358    177    177    0    1    1
178    2346    170    170    0    8    8
181    2366    179    179    0    2    2
181    2368    179    179    0    2    2
181    2369    179    179    0    2    2
181    2370    179    179    0    2    2
181    2359    177    177    0    4    4
181    2360    177    177    0    4    4
181    2361    177    177    0    4    4
181    2361    177    177    0    4    4
182    2372    182    182    0    0    0
182    2354    172    172    0    10    10
182    2356    172    172    0    10    10
182    206    111    114    3    68    71
182    142    70    74    4    108    112
182    128    66    70    4    112    116
182    186    101    103    2    79    81
182    174    99    101    2    81    83
182    200    107    109    2    73    75
182    215    112    113    1    69    70
182    199    107    110    3    72    75
182    204    107    111    4    71    75
182    222    113    115    2    67    69
182    379    182    182    0    0    0
183    2371    179    179    0    4    4
183    2376    182    182    0    1    1
184    2371    179    179    0    5    5
186    2365    179    179    0    7    7
187    315    150    154    4    33    37
188    2383    186    186    0    2    2
188    2384    186    186    0    2    2
188    2381    186    186    0    2    2
188    2389    187    187    0    1    1
188    2391    187    187    0    1    1
188    2382    186    186    0    2    2
188    2387    187    187    0    1    1
188    2390    187    187    0    1    1
188    2390    187    187    0    1    1
189    2388    187    187    0    2    2
189    2375    182    182    0    7    7
189    2367    179    179    0    10    10
190    2377    182    182    0    8    8
192    2393    191    191    0    1    1
192    2395    191    191    0    1    1
192    2398    191    191    0    1    1
192    2396    191    191    0    1    1
192    2374    182    182    0    10    10
193    2373    182    182    0    11    11
194    2385    186    186    0    8    8
194    2380    186    186    0    8    8
196    2401    193    193    0    3    3
196    2407    196    196    0    0    0
196    2408    196    196    0    0    0
196    2411    196    196    0    0    0
196    2413    196    196    0    0    0
196    2379    186    186    0    10    10
196    233    118    120    2    76    78
196    156    76    82    6    114    120
196    159    76    78    2    118    120
196    160    76    86    10    110    120
196    161    76    79    3    117    120
196    169    95    102    7    94    101
196    157    76    90    14    106    120
196    165    95    99    4    97    101
196    182    100    104    4    92    96
196    195    104    106    2    90    92
196    414    196    196    0    0    0
197    2406    193    193    0    4    4
198    2418    197    197    0    1    1
198    2426    198    198    0    0    0
198    2409    196    196    0    2    2
198    2427    198    198    0    0    0
198    2388    187    187    0    11    11
198    2418    197    197    0    1    1
198    2412    196    196    0    2    2
198    2406    193    193    0    5    5
198    2404    193    193    0    5    5
198    2399    191    191    0    7    7
199    2416    197    197    0    2    2
199    2418    197    197    0    2    2
199    2394    191    191    0    8    8
201    2405    193    193    0    8    8
201    2400    193    193    0    8    8
202    2402    193    193    0    9    9
204    2410    196    197    1    7    8
204    2410    196    197    1    7    8
204    2410    196    197    1    7    8
204    2434    200    200    0    4    4
205    2440    201    201    0    4    4
205    2444    204    205    1    0    1
205    2446    204    205    1    0    1
205    2447    204    205    1    0    1
205    2448    204    205    1    0    1
205    2441    201    203    2    2    4
205    2422    198    198    0    7    7
205    2425    198    198    0    7    7
205    2415    197    197    0    8    8
205    2420    197    197    0    8    8
205    2433    200    200    0    5    5
205    2434    200    200    0    5    5
206    2421    198    198    0    8    8
206    2434    200    200    0    6    6
206    2419    197    197    0    9    9
206    2417    197    197    0    9    9
206    2424    198    198    0    8    8
208    2439    201    201    0    7    7
209    2445    204    204    0    5    5
210    2432    200    200    0    10    10
211    2469    210    210    0    1    1
211    2421    198    198    0    13    13
211    2436    201    201    0    10    10
212    2414    197    197    0    15    15
212    2437    201    201    0    11    11
212    2430    200    200    0    12    12
213    2474    212    212    0    1    1
213    2471    212    212    0    1    1
213    2471    212    212    0    1    1
213    2451    206    206    0    7    7
214    2471    212    212    0    2    2
214    2453    206    206    0    8    8
214    2456    207    207    0    7    7
215    2431    200    200    0    15    15
215    2476    212    212    0    3    3
215    2454    206    206    0    9    9
215    2460    207    207    0    8    8
216    231    117    121    4    95    99
216    225    113    117    4    99    103
216    212    112    113    1    103    104
216    155    73    77    4    139    143
216    219    113    119    6    97    103
216    253    122    132    10    84    94
216    240    120    125    5    91    96
216    235    118    120    2    96    98
216    267    130    132    2    84    86
216    254    124    126    2    90    92
216    479    216    216    0    0    0
217    2463    210    210    0    7    7
217    2461    207    207    0    10    10
217    2465    210    210    0    7    7
217    274    133    135    2    82    84
217    251    122    124    2    93    95
217    239    118    120    2    97    99
217    284    137    141    4    76    80
217    293    139    141    2    76    78
217    269    133    137    4    80    84
217    276    134    138    4    79    83
217    279    134    138    4    79    83
217    487    217    217    0    0    0
219    2469    210    210    0    9    9
222    2459    207    208    1    14    15
222    2438    201    201    0    21    21
222    2490    217    217    0    5    5
223    2490    217    217    0    6    6
223    2493    218    218    0    5    5
226    2490    217    217    0    9    9
224    2458    207    209    2    15    17
224    2462    207    208    1    16    17
224    2490    217    217    0    7    7
224    2493    218    218    0    6    6
224    2478    216    216    0    8    8
224    2482    216    216    0    8    8
225    2452    206    206    0    19    19
225    2483    216    216    0    9    9
225    2481    216    216    0    9    9
226    2490    217    217    0    9    9
226    2490    217    217    0    9    9
226    2486    217    217    0    9    9
226    2494    218    218    0    8    8
227    2455    206    206    0    21    21
227    2485    217    217    0    10    10
230    2449    206    206    0    24    24
230    2513    228    228    0    2    2
230    292    139    145    6    85    91
230    264    130    135    5    95    100
230    290    139    141    2    89    91
230    277    134    136    2    94    96
230    278    134    136    2    94    96
230    287    137    141    4    89    93
230    275    134    138    4    92    96
230    319    151    153    2    77    79
230    305    148    149    1    81    82
230    322    151    155    4    75    79
230    524    230    230    0    0    0
232    2457    207    207    0    25    25
232    2443    204    230    26    2    28
232    2512    228    228    0    4    4
232    2529    231    231    0    1    1
232    2520    230    230    0    2    2
232    2511    226    226    0    6    6
232    2526    231    231    0    1    1
232    2531    231    231    0    1    1
232    2513    228    228    0    4    4
232    2520    230    230    0    2    2
232    2531    231    231    0    1    1
232    2502    225    225    0    7    7
233    2472    212    213    1    20    21
233    2531    231    231    0    2    2
234    2450    206    206    0    28    28
234    2521    230    230    0    4    4
234    2535    233    233    0    1    1
234    2508    226    226    0    8    8
234    2499    225    225    0    9    9
235    2470    212    213    1    22    23
235    2518    228    228    0    7    7
235    2509    226    226    0    9    9
235    323    151    155    4    80    84
235    306    148    151    3    84    87
235    310    150    151    1    84    85
235    313    150    151    1    84    85
235    344    168    170    2    65    67
235    330    152    154    2    81    83
235    312    150    151    1    84    85
235    329    152    156    4    79    83
235    544    235    235    0    0    0
237    2467    210    211    1    26    27
237    2531    231    231    0    6    6
237    350    170    172    2    65    67
237    337    160    168    8    69    77
237    334    160    171    11    66    77
237    365    177    179    2    58    60
237    347    170    172    2    65    67
237    348    170    172    2    65    67
237    359    177    193    16    44    60
237    361    177    194    17    43    60
237    341    168    170    2    67    69
237    332    160    171    11    66    77
237    548    237    237    0    0    0
238    2524    230    230    0    8    8
238    358    172    179    7    59    66
238    346    170    172    2    66    68
238    378    182    193    11    45    56
238    357    172    179    7    59    66
238    381    186    190    4    48    52
238    550    237    238    1    0    1
239    2532    231    231    0    8    8
239    512    226    226    0    13    13
239    434    200    200    0    39    39
239    271    133    133    0    106    106
239    435    200    200    0    39    39
239    498    218    218    0    21    21
239    561    238    239    1    0    1
240    2466    210    211    1    29    30
240    2537    233    233    0    7    7
241    2468    210    211    1    30    31
241    2560    238    238    0    3    3
241    2560    238    238    0    3    3
241    2560    238    238    0    3    3
241    2534    233    233    0    8    8
242    2560    238    238    0    4    4
242    2533    233    233    0    9    9
242    2540    235    235    0    7    7
242    2560    238    238    0    4    4
244    2545    235    235    0    9    9
244    2546    235    235    0    9    9
245    2548    237    237    0    8    8
245    2554    238    238    0    7    7
246    2580    242    242    0    4    4
246    2580    242    242    0    4    4
246    2580    242    242    0    4    4
247    2473    212    215    3    32    35
247    2580    242    242    0    5    5
247    2580    242    242    0    5    5
247    2580    242    242    0    5    5
247    2564    240    240    0    7    7
247    2550    237    237    0    10    10
248    2579    242    242    0    6    6
248    2566    240    240    0    8    8
248    2556    238    238    0    10    10
248    2561    240    240    0    8    8
248    584    248    248    0    0    0
249    2582    248    248    0    1    1
251    2488    217    218    1    33    34
251    2582    248    248    0    3    3
251    2563    240    240    0    11    11
252    2578    242    242    0    10    10
255    2480    216    217    1    38    39
255    2528    231    233    2    22    24
255    2530    231    236    5    19    24
255    2498    225    226    1    29    30
255    2565    240    243    3    12    15
255    2567    240    243    3    12    15
255    2501    225    226    1    29    30
255    2547    237    240    3    15    18
255    2583    248    255    7    0    7
255    2585    248    252    4    3    7
258    2515    228    230    2    28    30
258    2575    242    250    8    8    16
258    2576    242    246    4    12    16
258    2581    242    246    4    12    16
258    2536    233    235    2    23    25
258    2538    233    238    5    20    25
258    2539    233    236    3    22    25
258    2516    228    230    2    28    30
258    2517    228    230    2    28    30
258    2484    217    218    1    40    41
258    2588    248    248    0    10    10
258    2586    248    248    0    10    10
259    2580    242    242    0    17    17
260    2584    248    248    0    12    12
260    2584    248    248    0    12    12
263    2522    230    232    2    31    33
263    2523    230    232    2    31    33
263    2507    226    230    4    33    37
263    2514    228    230    2    33    35
263    2596    261    263    2    0    2
263    2597    261    263    2    0    2
263    2587    248    252    4    11    15
263    2590    259    261    2    2    4
263    2592    259    261    2    2    4
264    2495    218    219    1    45    46
264    2497    218    219    1    45    46
264    2600    261    261    0    3    3
264    2580    242    242    0    22    22
264    2598    261    261    0    3    3
265    2580    242    242    0    23    23
265    2591    259    259    0    6    6
266    2598    261    261    0    5    5
266    2589    259    259    0    7    7
267    2542    235    235    0    32    32
267    2613    266    266    0    1    1
267    2611    266    266    0    1    1
267    2608    265    265    0    2    2
267    355    172    179    7    88    95
267    417    197    203    6    64    70
267    395    191    197    6    70    76
267    377    182    205    23    62    85
267    427    198    201    3    66    69
267    428    198    201    3    66    69
267    387    187    194    7    73    80
267    405    193    195    2    72    74
267    619    267    267    0    0    0
268    2604    265    265    0    3    3
268    368    179    182    3    86    89
268    430    200    206    6    62    68
268    418    197    206    9    62    71
268    419    197    200    3    68    71
268    441    201    208    7    60    67
268    424    198    201    3    67    70
268    407    193    195    2    73    75
268    409    196    202    6    66    72
268    628    268    268    0    0    0
269    2608    265    265    0    4    4
269    2626    268    268    0    1    1
269    2630    268    269    1    0    1
270    2496    218    219    1    51    52
270    2543    235    237    2    33    35
270    2623    267    268    1    2    3
270    2623    267    268    1    2    3
271    2558    238    241    3    30    33
271    2618    267    271    4    0    4
271    2621    267    269    2    2    4
271    2622    267    269    2    2    4
271    2559    238    241    3    30    33
271    2506    226    227    1    44    45
271    2593    259    261    2    10    12
271    2549    237    240    3    31    34
271    2551    237    240    3    31    34
271    2552    237    240    3    31    34
272    2504    225    226    1    46    47
272    2623    267    268    1    4    5
272    2607    265    265    0    7    7
273    2609    265    265    0    8    8
274    2557    238    241    3    33    36
274    2503    225    226    1    48    49
274    2633    274    274    0    0    0
274    2636    274    274    0    0    0
274    2615    266    266    0    8    8
274    2616    266    266    0    8    8
274    2606    265    265    0    9    9
275    2572    241    244    3    31    34
275    2617    267    267    0    8    8
276    2569    241    244    3    32    35
276    2610    266    266    0    10    10
277    2642    276    276    0    1    1
277    2644    276    276    0    1    1
277    2644    276    276    0    1    1
277    2614    266    266    0    11    11
278    2629    268    268    0    10    10
279    2574    241    244    3    35    38
279    2643    276    276    0    3    3
279    2644    276    276    0    3    3
280    2624    268    270    2    10    12
280    2627    268    270    2    10    12
281    2612    266    267    1    14    15
281    2605    265    266    1    15    16
282    2628    268    270    2    12    14
282    2603    265    266    1    16    17
283    2631    274    274    0    9    9
283    2635    274    274    0    9    9
284    2634    274    275    1    9    10
284    2637    274    275    1    9    10
286    2632    274    274    0    12    12
286    2638    276    276    0    10    10
287    2641    276    277    1    10    11
287    2639    276    276    0    11    11
288    2655    288    288    0    0    0
288    2658    288    288    0    0    0
288    411    196    202    6    86    92
288    465    210    218    8    70    78
288    469    210    218    8    70    78
288    457    207    210    3    78    81
288    459    207    210    3    78    81
288    437    201    204    3    84    87
288    425    198    204    6    84    90
288    398    191    197    6    91    97
288    655    288    288    0    0    0
290    2662    289    289    0    1    1
290    2644    276    276    0    14    14
291    2604    265    265    0    26    26
293    2645    285    285    0    8    8
293    2666    291    291    0    2    2
293    2667    291    291    0    2    2
293    2667    291    291    0    2    2
295    2649    285    285    0    10    10
295    2647    285    285    0    10    10
295    2646    285    285    0    10    10
295    2646    285    285    0    10    10
296    2648    285    285    0    11    11
296    2661    289    289    0    7    7
296    2675    295    295    0    1    1
296    2661    289    289    0    7    7
296    2656    288    288    0    8    8
297    2652    288    288    0    9    9
298    2654    288    288    0    10    10
298    2672    291    291    0    7    7
299    2675    295    295    0    4    4
299    2663    289    289    0    10    10
300    2657    288    288    0    12    12
300    2660    289    289    0    11    11
300    2665    289    291    2    9    11
300    2664    289    289    0    11    11
301    2670    291    292    1    9    10
301    2653    288    288    0    13    13
301    2674    295    296    1    5    6
301    2676    295    296    1    5    6
301    2659    289    289    0    12    12
301    2680    301    301    0    0    0
301    2684    301    301    0    0    0
301    2685    301    301    0    0    0
301    2686    301    301    0    0    0
301    2671    291    291    0    10    10
